person,year,event,relation,era
継体天皇,527年,磐井の乱,物部麁鹿火,飛鳥
欽明天皇,540年,大伴金村失脚,蘇我稲目と物部尾輿が対立,飛鳥
蘇我馬子,587年,物部守屋を滅ぼす,崇峻天皇暗殺,飛鳥
推古天皇,603年,冠位十二階,厩戸王,飛鳥
舒明天皇,630年,遣唐使,権力は蘇我蝦夷・入鹿,飛鳥
皇極天皇,645年,乙巳の変,中大兄皇子,飛鳥
孝徳天皇,646年,改新の詔,難波宮遷都,飛鳥
斉明天皇,660年,百済滅亡,皇極天皇が重祚,飛鳥
中大兄皇子,663年,白村江の戦い,近江大津宮遷都,飛鳥
天智天皇,670年,庚午年籍作成,高句麗滅亡,飛鳥
天武天皇,684年,八色の姓,飛鳥浄御原宮遷都,飛鳥
持統天皇,690年,庚寅年籍,藤原京遷都,飛鳥
文武天皇,701年,大宝律令制定,藤原不比等・刑部親王,飛鳥
元明天皇,710年,平城京遷都,蓄銭叙位令,奈良
元正天皇,718年,養老律令制定,藤原不比等,奈良
藤原四子,729年,長屋王の変,光明子立后,奈良
橘諸兄,738年,吉備真備・玄昉を登用,藤原広嗣の乱,奈良
聖武天皇,743年,墾田永年私財法,紫香楽宮,奈良
孝謙天皇,757年,養老律令施行,藤原仲麻呂,奈良
淳仁天皇,764年,恵美押勝の乱,藤原仲麻呂の敗死,奈良
称徳天皇,769年,宇佐八幡神託事件,道鏡,奈良
光仁天皇,780年,藤原百川,式家宇合の息子,奈良
桓武天皇,794年,平安京遷都,藤原種継,平安
嵯峨天皇,810年,平城太上天皇の変,藤原冬嗣,平安
清和天皇,858年,応天門の変,伴善男,平安
宇多天皇,888年,阿衡の紛議,藤原基経,平安
醍醐天皇,902年,延喜の荘園整理令,唐滅亡,平安
藤原忠平,939年,平将門の乱,藤原秀郷・平貞盛,平安
村上天皇,958年,乾元大宝鋳造,本朝十二銭の最後,平安
源高明,969年,安和の変,藤原実頼,平安
一条天皇,988年,尾張国軍事百姓等解,藤原元命,平安
後三条天皇,1069年,延久の荘園整理令,記録所の設置,平安
白河天皇,1083年,後三年合戦,藤原(清原)清衡,平安
堀河天皇,1086年,白河上皇の院政,院近臣,平安
後白河天皇,1156年,保元の乱,藤原忠通、清盛、義朝,平安
藤原通憲,1159年,平治の乱,清盛vs義朝,平安
以仁王,1180年・5月,源頼政と挙兵,治承・寿永の乱の始まり,鎌倉
源義仲,1180年・8月,源頼朝と挙兵,以仁王の乱に呼応した,鎌倉
北条時政,1203年,比企能員の乱,源頼家の義父,鎌倉
北条義時,1213年,和田義盛の乱,承久の乱,鎌倉
北条泰時,1232年,御成敗式目(貞永式目),連署初代北条時房,鎌倉
北条時頼,1247年,宝治合戦,三浦泰村,鎌倉
宗尊親王,1252年,皇族将軍,後嵯峨上皇の皇子,鎌倉
北条時宗,1274年,文永・弘安の役,異国警護番役,鎌倉
北条貞時,1297年,永仁の徳政令,鎮西探題,鎌倉
平頼綱,1285年,霜月騒動,安達泰盛,鎌倉
後深草天皇,1246年,後嵯峨天皇の譲位,持明院統、後小松まで,鎌倉
亀山天皇,1259年,大覚寺統,後亀山まで,鎌倉
後醍醐天皇,1333年,鎌倉幕府滅亡,建武の新政,鎌倉
北畠親房,1338年,戦死、新田義貞も,神皇正統記,室町
足利尊氏,1350年,観応の擾乱,高師直,室町
足利義満,1391年,明徳の乱,山名氏清,室町
大内義弘,1399年,応永の乱,足利義満が討伐,室町
上杉憲実,1438年,永享の乱,足利持氏,室町
足利義教,1441年,嘉吉の変,赤松満祐,室町
足利成氏,1454年,享徳の乱,関東管領の上杉憲忠,室町
山名持豊,1467年,応仁の乱,細川勝元,室町
フランシスコ・ザビエル,1549年,鹿児島に来航,イエズス会,安土桃山
ヴァリニャーニ,1582年,天正遣欧使節を派遣,有馬晴信,安土桃山
織田信長,1560年,桶狭間の戦い,今川義元,安土桃山
豊臣秀吉,1582年,山崎の合戦,明智光秀,安土桃山
徳川家康,1603年,征夷大将軍就任,後陽成天皇,江戸
後水尾天皇,1629年,紫衣事件,明正天皇,江戸
